,geneID,x,y,MIDCounts,newx,newy
21383991,F13a1,13394,10294,3,10169,4119
21383992,F13a1,11478,9829,1,8253,3654
21383993,F13a1,9333,10491,1,6108,4316
21383994,F13a1,6435,7343,1,3210,1168
21383995,F13a1,10664,17002,2,7439,10827
21383996,F13a1,6084,16857,1,2859,10682
21383997,F13a1,6452,15577,1,3227,9402
21383998,F13a1,8663,11263,1,5438,5088
21383999,F13a1,7950,10421,1,4725,4246
21384000,F13a1,8682,8764,2,5457,2589
21384001,F13a1,12926,10183,1,9701,4008
21384002,F13a1,7359,12016,1,4134,5841
21384003,F13a1,11119,8232,1,7894,2057
21384004,F13a1,6124,9324,3,2899,3149
21384005,F13a1,7404,19681,1,4179,13506
21384006,F13a1,9891,14422,1,6666,8247
21384007,F13a1,12042,13990,1,8817,7815
21384008,F13a1,6544,12578,1,3319,6403
21384009,F13a1,7488,19471,1,4263,13296
21384010,F13a1,9428,6423,1,6203,248
21384011,F13a1,9994,16444,1,6769,10269
21384012,F13a1,7978,11376,1,4753,5201
21384013,F13a1,9017,13827,1,5792,7652
21384014,F13a1,11880,15681,1,8655,9506
21384015,F13a1,8110,10630,1,4885,4455
21384016,F13a1,8986,14387,1,5761,8212
21384017,F13a1,8494,8837,2,5269,2662
21384018,F13a1,4959,14557,1,1734,8382
21384019,F13a1,12454,9582,2,9229,3407
21384020,F13a1,9728,16379,1,6503,10204
21384021,F13a1,10298,13082,1,7073,6907
21384022,F13a1,10678,6736,2,7453,561
21384023,F13a1,4215,10035,1,990,3860
21384024,F13a1,13243,10083,2,10018,3908
21384025,F13a1,5226,9272,2,2001,3097
21384026,F13a1,9963,17828,1,6738,11653
21384027,F13a1,8360,7187,2,5135,1012
21384028,F13a1,7454,6361,2,4229,186
21384029,F13a1,5604,14327,1,2379,8152
21384030,F13a1,6617,9444,1,3392,3269
21384031,F13a1,12917,13994,1,9692,7819
21384032,F13a1,10135,11820,3,6910,5645
21384033,F13a1,6884,15531,2,3659,9356
21384034,F13a1,10161,8518,1,6936,2343
21384035,F13a1,9802,13276,1,6577,7101
21384036,F13a1,8554,15109,1,5329,8934
21384037,F13a1,6885,15530,1,3660,9355
21384038,F13a1,7538,19194,1,4313,13019
21384039,F13a1,13091,10609,1,9866,4434
21384040,F13a1,13369,12157,4,10144,5982
21384041,F13a1,6780,15986,1,3555,9811
21384042,F13a1,11474,9803,2,8249,3628
21384043,F13a1,11080,8253,1,7855,2078
21384044,F13a1,10030,11376,1,6805,5201
21384045,F13a1,6798,6675,3,3573,500
21384046,F13a1,5778,9323,2,2553,3148
21384047,F13a1,13014,9550,1,9789,3375
21384048,F13a1,4447,10740,2,1222,4565
21384049,F13a1,5497,11607,3,2272,5432
21384050,F13a1,5709,16392,1,2484,10217
21384051,F13a1,6898,8624,1,3673,2449
21384052,F13a1,12690,10798,1,9465,4623
21384053,F13a1,10216,7715,1,6991,1540
21384054,F13a1,4053,12435,3,828,6260
21384055,F13a1,8209,16516,1,4984,10341
21384056,F13a1,4360,9902,3,1135,3727
21384057,F13a1,10989,12448,1,7764,6273
21384058,F13a1,6048,10637,1,2823,4462
21384059,F13a1,9178,7407,1,5953,1232
21384060,F13a1,13367,11037,1,10142,4862
21384061,F13a1,9047,9428,1,5822,3253
21384062,F13a1,7020,6536,1,3795,361
21384063,F13a1,6867,8589,3,3642,2414
21384064,F13a1,10298,15967,1,7073,9792
21384065,F13a1,10078,11885,1,6853,5710
21384066,F13a1,6719,15415,1,3494,9240
21384067,F13a1,6355,9412,3,3130,3237
21384068,F13a1,9250,9595,1,6025,3420
21384069,F13a1,12851,9078,1,9626,2903
21384070,F13a1,13377,11052,1,10152,4877
21384071,F13a1,10043,6702,2,6818,527
21384072,F13a1,11364,7393,1,8139,1218
21384073,F13a1,11654,14559,2,8429,8384
21384074,F13a1,7808,10715,3,4583,4540
21384075,F13a1,9177,7406,4,5952,1231
21384076,F13a1,8502,11098,1,5277,4923
21384077,F13a1,8237,19092,1,5012,12917
21384078,F13a1,8562,11168,4,5337,4993
21384079,F13a1,5703,9315,1,2478,3140
21384080,F13a1,9206,17466,1,5981,11291
21384081,F13a1,4541,12906,2,1316,6731
21384082,F13a1,6885,15531,1,3660,9356
21384083,F13a1,8993,16336,1,5768,10161
21384084,F13a1,7750,13280,2,4525,7105
21384085,F13a1,4611,10888,1,1386,4713
21384086,F13a1,11471,9393,1,8246,3218
21384087,F13a1,9992,9031,1,6767,2856
21384088,F13a1,9039,13698,1,5814,7523
21384089,F13a1,7548,16163,1,4323,9988
21384090,F13a1,6599,7971,1,3374,1796
21384091,F13a1,8622,9564,1,5397,3389
21384092,F13a1,7953,15535,1,4728,9360
21384093,F13a1,6833,8932,1,3608,2757
21384094,F13a1,9238,10008,1,6013,3833
21384095,F13a1,10004,6568,4,6779,393
21384096,F13a1,6408,7374,1,3183,1199
21384097,F13a1,6463,7272,3,3238,1097
21384098,F13a1,11571,9022,1,8346,2847
21384099,F13a1,10056,16843,1,6831,10668
21384100,F13a1,9883,8030,1,6658,1855
21384101,F13a1,12343,9639,3,9118,3464
21384102,F13a1,6806,9565,3,3581,3390
21384103,F13a1,10988,12448,3,7763,6273
21384104,F13a1,8677,11333,1,5452,5158
21384105,F13a1,10606,16296,2,7381,10121
21384106,F13a1,10057,10665,2,6832,4490
21384107,F13a1,5984,9185,2,2759,3010
21384108,F13a1,6687,6935,1,3462,760
21384109,F13a1,6715,11904,1,3490,5729
21384110,F13a1,6733,17131,1,3508,10956
21384111,F13a1,12299,14160,1,9074,7985
21384112,F13a1,10296,8627,1,7071,2452
21384113,F13a1,7063,19749,1,3838,13574
21384114,F13a1,4695,12791,3,1470,6616
21384115,F13a1,9283,9592,2,6058,3417
21384116,F13a1,10294,17542,1,7069,11367
21384117,F13a1,10858,12997,3,7633,6822
21384118,F13a1,8081,13521,4,4856,7346
21384119,F13a1,6368,7347,1,3143,1172
21384120,F13a1,10455,16063,1,7230,9888
21384121,F13a1,12817,11803,1,9592,5628
21384122,F13a1,11190,7962,4,7965,1787
21384123,F13a1,12046,10687,1,8821,4512
21384124,F13a1,8476,12427,2,5251,6252
21384125,F13a1,9389,13006,1,6164,6831
21384126,F13a1,7081,15788,1,3856,9613
21384127,F13a1,12321,7752,1,9096,1577
21384128,F13a1,10032,12273,3,6807,6098
21384129,F13a1,6572,18061,2,3347,11886
21384130,F13a1,8157,14880,2,4932,8705
21384131,F13a1,10867,15259,1,7642,9084
