"","barcodes","clusters"
"490","adodhojn-1","10_ENDO"
"491","adodjdga-1","13_PCT-TAL"
"492","adodjmgl-1","10_ENDO"
"493","adoeghbi-1","13_PCT-TAL"
"494","adofbggc-1","13_PCT-TAL"
"495","adofimdj-1","10_ENDO"
"496","adoijlje-1","13_PCT-TAL"
"497","adopccka-1","10_ENDO"
"498","adpcaaab-1","13_PCT-TAL"
"499","adpdpime-1","10_ENDO"
"500","adpfhanp-1","13_PCT-TAL"
"501","adpfidpe-1","10_ENDO"
"502","adpfoiab-1","13_PCT-TAL"
"503","adpicihp-1","15_MES"
"504","adpillhd-1","15_MES"
"505","adpjmkhi-1","13_PCT-TAL"
"506","adpmeigd-1","10_ENDO"
"507","adpoippa-1","10_ENDO"
"508","adppbaam-1","3_PCT"
"509","adppgcmp-1","23_LEU"
"510","aeaafpcb-1","13_PCT-TAL"
"511","aeabpmpm-1","13_PCT-TAL"
"512","aeadnfdk-1","13_PCT-TAL"
"513","aeagaidl-1","2_PCT"
"514","aeaigdod-1","9_LOH"
"515","aeajickj-1","15_MES"
"516","aeallbif-1","13_PCT-TAL"
"517","aeaofhfd-1","2_PCT"
"518","aebaepkf-1","2_PCT"
"519","aebjangh-1","15_MES"
"520","aebjehfj-1","15_MES"
"521","aebjiehf-1","23_LEU"
"522","aebjkjie-1","13_PCT-TAL"
"523","aebkdkoa-1","15_MES"
"524","aebkneoa-1","15_MES"
"525","aeblmfjh-1","2_PCT"
"526","aebnlkhg-1","20_PC"
"527","aeccmjbb-1","14_IC_B"
"528","aececagd-1","10_ENDO"
"529","aecedflj-1","14_IC_B"
"530","aechpnjc-1","13_PCT-TAL"
"531","aecieinh-1","11_IC-A"
"532","aecjddmf-1","5_PC"
"533","aeckfake-1","14_IC_B"
"534","aeckmmjm-1","5_PC"
"535","aecnaiel-1","5_PC"
"536","aecnboaj-1","5_PC"
"537","aecpgdjh-1","5_PC"
"538","aecpidfo-1","5_PC"
"539","aedeeefd-1","2_PCT"
"540","aedhfnob-1","10_ENDO"
"541","aedhhkdh-1","5_PC"
"542","aedhniil-1","13_PCT-TAL"
"543","aedjpgbf-1","13_PCT-TAL"
"544","aedkkkfd-1","11_IC-A"
"545","aedlefaf-1","22_MES"
"546","aedohpni-1","19_ENDO"
"547","aeeaogfl-1","15_MES"
"548","aeefljjb-1","5_PC"
"549","aeegihpl-1","10_ENDO"
"550","aeeheaej-1","13_PCT-TAL"
"551","aeehjnfn-1","10_ENDO"
"552","aeehkena-1","15_MES"
"553","aeehocam-1","13_PCT-TAL"
"554","aeeigfkk-1","10_ENDO"
"555","aeejbked-1","2_PCT"
"556","aeejpaca-1","5_PC"
"557","aeekniba-1","2_PCT"
"558","aeembchj-1","2_PCT"
"559","aeepdcbf-1","5_PC"
"560","aefaacjc-1","15_MES"
"561","aefagfoo-1","3_PCT"
"562","aefapooh-1","2_PCT"
"563","aefblhca-1","2_PCT"
"564","aefbmocj-1","2_PCT"
"565","aefdkcbl-1","10_ENDO"
"566","aefhhjmo-1","13_PCT-TAL"
"567","aeficjld-1","13_PCT-TAL"
"568","aefleejj-1","16_PEC"
"569","aeflngii-1","10_ENDO"
"570","aefmefeh-1","15_MES"
"571","aefmfanh-1","2_PCT"
"572","aefpneop-1","2_PCT"
"573","aegbbmmg-1","13_PCT-TAL"
"574","aegblafm-1","15_MES"
"575","aegbolna-1","2_PCT"
"576","aegfidko-1","13_PCT-TAL"
"577","aeggbkej-1","15_MES"
"578","aeggcknm-1","15_MES"
"579","aegjeepb-1","15_MES"
"580","aegjmmcl-1","23_LEU"
"581","aegobbeh-1","15_MES"
"582","aegojimd-1","16_PEC"
"583","aehamiep-1","15_MES"
"584","aehfaekj-1","13_PCT-TAL"
"585","aehfilao-1","15_MES"
"586","aehhkbel-1","15_MES"
"587","aehkcdkm-1","1_PCT"
"588","aehopedb-1","15_MES"
"589","aeibhnjo-1","15_MES"
"590","aeiclcnn-1","15_MES"
"591","aeigbonf-1","10_ENDO"
"592","aeikfmgl-1","10_ENDO"
"593","aeiplppa-1","10_ENDO"
"594","aejbikjc-1","15_MES"
"595","aejbnkgo-1","13_PCT-TAL"
"596","aejchmoa-1","15_MES"
"597","aejcimic-1","13_PCT-TAL"
"598","aejckdgp-1","0_TAL"
"599","aejeamln-1","0_TAL"
"600","aejffgpc-1","13_PCT-TAL"
"601","aejfnolh-1","0_TAL"
"602","aejibijo-1","0_TAL"
"603","aejmeoek-1","4_TAL"
"604","aekdimpi-1","4_TAL"
"605","aekjghkc-1","0_TAL"
"606","aekmhgin-1","4_TAL"
"607","aeknpbjj-1","0_TAL"
"608","aelahoge-1","4_TAL"
"609","aelckikf-1","0_TAL"
"610","aeldlkgh-1","19_ENDO"
"611","aelfobik-1","10_ENDO"
"612","aellnagc-1","15_MES"
"613","aelmlmpj-1","13_PCT-TAL"
"614","aelnmhbo-1","0_TAL"
"615","aemedjji-1","13_PCT-TAL"
"616","aemelhbm-1","4_TAL"
"617","aemfchda-1","4_TAL"
"618","aemgjalo-1","10_ENDO"
"619","aemhkfeg-1","0_TAL"
"620","aemhncol-1","18_LOH"
"621","aemhofcc-1","0_TAL"
"622","aemlgmia-1","0_TAL"
"623","aempdedi-1","0_TAL"
"624","aenchdeh-1","22_MES"
"625","aenddpco-1","0_TAL"
"626","aendgfel-1","4_TAL"
"627","aenhjebb-1","13_PCT-TAL"
"628","aenlmjbh-1","1_PCT"
"629","aenmacfd-1","4_TAL"
"630","aenmhick-1","0_TAL"
"631","aennbakh-1","0_TAL"
"632","aenohbci-1","0_TAL"
"633","aeobjmnf-1","13_PCT-TAL"
"634","aeobpmnm-1","0_TAL"
"635","aeoceakn-1","0_TAL"
"636","aeockdbp-1","0_TAL"
"637","aeodkdao-1","0_TAL"
"638","aeoecfkc-1","0_TAL"
"639","aeoelejm-1","4_TAL"
"640","aeoiilnd-1","4_TAL"
"641","aeokeibg-1","0_TAL"
"642","aeoklobh-1","15_MES"
"643","aepbjplp-1","4_TAL"
"644","aepcllfj-1","15_MES"
"645","aepdlfln-1","4_TAL"
"646","aephhdbj-1","15_MES"
"647","aepidooj-1","0_TAL"
"648","aepjcpfg-1","15_MES"
"649","afaaepil-1","4_TAL"
"650","afadfonh-1","15_MES"
"651","afafnfad-1","0_TAL"
"652","afahncdp-1","15_MES"
"653","afajndom-1","15_MES"
"654","afajplid-1","19_ENDO"
"655","afakcoep-1","23_LEU"
"656","afalehih-1","15_MES"
"657","afalgbih-1","10_ENDO"
"658","afbaekja-1","10_ENDO"
"659","afbglehc-1","4_TAL"
"660","afbhbbpf-1","15_MES"
"661","afbhidfd-1","11_IC-A"
"662","afblempe-1","4_TAL"
"663","afbpamgh-1","4_TAL"
"664","afcddbge-1","4_TAL"
"665","afcifmdc-1","4_TAL"
"666","afcipcna-1","15_MES"
"667","afckghci-1","15_MES"
"668","afcmmeof-1","15_MES"
"669","afcnbdkn-1","23_LEU"
"670","afcnjibg-1","4_TAL"
"671","afdaofdg-1","11_IC-A"
"672","afdceolc-1","15_MES"
"673","afddibmp-1","15_MES"
"674","afdhkimi-1","15_MES"
"675","afdhodpk-1","23_LEU"
"676","afdmkmko-1","11_IC-A"
"677","afdmofne-1","15_MES"
"678","afdomcbg-1","15_MES"
"679","afdpgpbc-1","15_MES"
"680","afebgcde-1","15_MES"
"681","afebolao-1","15_MES"
"682","afecdjff-1","15_MES"
"683","afechdjp-1","15_MES"
"684","afekghmf-1","10_ENDO"
"685","afenkchm-1","10_ENDO"
"686","afennmdd-1","15_MES"
"687","afeomdnb-1","15_MES"
"688","afepkicn-1","13_PCT-TAL"
"689","afepppla-1","16_PEC"
"690","affdbpag-1","15_MES"
"691","affgnbig-1","13_PCT-TAL"
"692","affgphdh-1","15_MES"
"693","affjbjod-1","4_TAL"
"694","affjgldl-1","16_PEC"
"695","affkaglm-1","15_MES"
"696","affkdbcn-1","15_MES"
"697","affmefkm-1","15_MES"
"698","affniild-1","15_MES"
"699","afgahpcb-1","15_MES"
"700","afganpdj-1","9_LOH"
